Destination,Districts,Region,Activities,Price_range,Reccomended_for
Shirdi,Ahmednagar,Northern Maharashtra,Religious Tourism,Medium,Families &Senior Citizens
Srigonda,Ahmednagar,Northern Maharashtra,Religious Tourism,Medium,Families &Senior Citizens
Siddhatek,Ahmednagar,Northern Maharashtra,Religious Tourism,Medium,Families &Senior Citizens
Kalasubai Harischandragad Wild Life Sanctury,Ahmednagar,Northern Maharashtra,"Wildlife Safari, Bird Watching",High,Wildlife Enthusiasts
Narnala wildlife sanctuary / Fort,Akola,Vidharbha,"Wildlife Safari, Bird Watching",High,
Balapur Fort,Akola,Vidharbha,"Trekking, Sightseeing",Low,History Buffs & Solo Travelers
Chikhaldara (Hill Station),Amravati,Vidharbha,"Trekking, Waterfalls, Caves",High,Couples & Friends
Ambadevi & Ekvira Temple,Amravati,Vidharbha,Religious Tourism,Medium,Families &Senior Citizens
Ajanta,Sambhaji Nagar,Marathwada,"Trekking, Sightseeing",Medium,History Buffs & Solo Travelers
Daultabad Fort,Sambhaji Nagar,Marathwada,"Trekking, Sightseeing",Medium,Couples & Friends
Ellora,Sambhaji Nagar,Marathwada,"Heritage Tourism, Caves",Medium,Families &Senior Citizens
Grishneshwer (Jyotirling),Sambhaji Nagar,Marathwada,Religious Tourism,Low,Families &Senior Citizens
Shri Bhadra Maruti Temple,Sambhaji Nagar,Marathwada,Religious Tourism,Medium,Families &Senior Citizens
Bibi Ka Makbara,Sambhaji Nagar,Marathwada,"Heritage Tourism, Sightseeing",Medium,History Buffs & Solo Travelers
Paithan - Jayakwadi,Sambhaji Nagar,Marathwada,Religious Tourism,Low,Families &Senior Citizens
Kapildhara (Ashram Of Kapilmuni),Beed,Marathwada,Religious Tourism,Low,Families &Senior Citizens
Parali Vaishnath,Beed,Marathwada,Religious Tourism,Medium,Families &Senior Citizens
Ambagar Fort,Bhandara,Marathwada,"Heritage Tourism, Sightseeing",Medium,Couples & Friends
Chinchgad,Bhandara,Marathwada,"Trekking, Sightseeing",Medium,Families &Senior Citizens
Sheogaon (Samadhi of Gajanan Maharaj),Buldhana,Vidharbha,Religious Tourism,Medium,Families &Senior Citizens
Lonar Crater,Buldhana,Vidharbha,"Heritage Tourism, Sightseeing",Low,History Buffs & Solo Travelers
"Tadoba, Tadoba national park",Chandrapur,Vidharbha,"Trekking, Wildlife Sanctuary",High,Wildlife Enthusiasts
Nagbhir (Ghodajhari) Picnic Spot,Chandrapur,Vidharbha,"Trekking, Wildlife Sanctuary",High,Wildlife Enthusiasts
Anerdam Wildlife Sanctury,Dhule,Northern Maharashtra,"Trekking, Wildlife Sanctuary",High,Wildlife Enthusiasts
Jinganur (Bhamergargh Wildlife Sanctury),Gadchiroli,Vidharbha,"Trekking, Wildlife Sanctuary",High,Wildlife Enthusiasts
Nayagaon Wild Life Sanctury,Gondia,Vidharbha,"Trekking, Wildlife Sanctuary",High,Wildlife Enthusiasts
Aundha Nagnath ( Jyotirling),Hingoli,Marathwada,Religious Tourism,Medium,Families &Senior Citizens
Mallinath Digambar Jain,Hingoli,Marathwada,Religious Tourism,Medium,Families &Senior Citizens
"Muktainager, Changdev Maharaj, Bhusawal",Jalgaon,Northern Maharashtra,Religious Tourism,Medium,Families &Senior Citizens
